geo_id,latitude,longitude
328,34.0265,-83.3334
329,36.87,-76.1751
330,38.903,-76.93
331,28.3106,-81.3469
332,30.3781,-91.241
333,30.317,-97.7041
334,28.7967,-81.2496
335,42.4223,-122.852
336,39.0717,-108.57
337,47.5861,-122.329
338,29.9831,-90.0688
339,31.5614,-84.1764
340,33.705,-78.8682
341,43.8315,-88.0137
342,34.0346,-81.1182
343,41.8077,-87.6078
344,41.962,-87.6614
345,28.1202,-80.6272
346,28.7628,-98.2039
347,34.1103,-78.8375
348,41.7737,-87.626
349,41.5395,-81.5467
350,41.76,-87.6264
351,25.8722,-80.1731
352,36.1655,-86.8002
353,27.5332,-82.5554
354,41.5374,-81.5399
355,39.7432,-75.5511
356,41.4961,-81.6684
357,37.7664,-122.178
358,34.5028,-82.6984
359,35.8552,-96.9464
360,40.8001,-124.148
361,47.9018,-120.132
362,38.6148,-90.3201
363,27.3583,-82.5323
364,29.7796,-95.2468
365,35.8489,-90.6934
366,36.2628,-86.7049
367,40.7574,-73.3691
368,32.4374,-92.2592
369,33.3685,-111.962
370,40.6693,-73.8848
371,34.1021,-117.922
372,33.8935,-84.2962
373,29.785,-90.8423
374,35.1327,-106.594
375,42.4121,-84.3843
376,30.1624,-85.6531
377,47.255,-122.463
378,39.4159,-74.4945
379,38.6879,-90.9564
380,38.9081,-90.1205
381,41.8676,-71.3948
382,39.3388,-76.6616
383,41.7206,-87.5765
384,37.5689,-77.3828
385,40.9381,-124.12
386,35.0763,-106.561
387,33.5254,-83.8966
388,43.0642,-87.9243
389,38.6851,-90.281
390,42.2876,-85.5953
391,40.8914,-75.4508
392,40.0848,-87.0608
393,39.1662,-119.733
394,38.5345,-121.468
395,27.5959,-81.5062
396,40.549,-79.416
397,40.6468,-73.9295
398,42.1041,-72.5884
399,41.6584,-74.6918
400,31.3048,-92.4673
401,38.8756,-104.813
402,33.8183,-86.808
403,41.9919,-91.6553
404,30.4249,-84.2771
405,34.8873,-85.6192
406,41.8583,-86.2435
407,46.2671,-122.987
408,37.986,-87.5642
409,39.1664,-84.2374
410,36.8775,-76.2461
411,40.4471,-79.8952
